evaluation_slice,domain,task_type,risk_level,task_count
finance_policy_answering_high,finance,policy_answering,high,18
finance_retrieval_qa_high,finance,retrieval_qa,high,18
finance_summarization_low,finance,summarization,low,15
finance_summarization_medium,finance,summarization,medium,4
general_business_batch_low_risk_summary_low,general_business,batch_low_risk_summary,low,15
general_business_batch_low_risk_summary_medium,general_business,batch_low_risk_summary,medium,3
general_business_classification_low,general_business,classification,low,15
general_business_classification_medium,general_business,classification,medium,4
general_business_customer_support_response_low,general_business,customer_support_response,low,16
general_business_customer_support_response_medium,general_business,customer_support_response,medium,3
general_business_extraction_low,general_business,extraction,low,15
general_business_extraction_medium,general_business,extraction,medium,4
general_business_policy_answering_high,general_business,policy_answering,high,19
general_business_retrieval_qa_low,general_business,retrieval_qa,low,14
general_business_retrieval_qa_medium,general_business,retrieval_qa,medium,4
general_business_summarization_low,general_business,summarization,low,14
general_business_summarization_medium,general_business,summarization,medium,4
healthcare_batch_low_risk_summary_low,healthcare,batch_low_risk_summary,low,15
healthcare_batch_low_risk_summary_medium,healthcare,batch_low_risk_summary,medium,4
healthcare_classification_high,healthcare,classification,high,18
healthcare_customer_support_response_low,healthcare,customer_support_response,low,15
healthcare_customer_support_response_medium,healthcare,customer_support_response,medium,3
healthcare_extraction_low,healthcare,extraction,low,15
healthcare_extraction_medium,healthcare,extraction,medium,4
healthcare_healthcare_claim_review_high,healthcare,healthcare_claim_review,high,167
healthcare_policy_answering_high,healthcare,policy_answering,high,18
healthcare_retrieval_qa_high,healthcare,retrieval_qa,high,19
healthcare_safety_sensitive_answer_high,healthcare,safety_sensitive_answer,high,166
healthcare_summarization_low,healthcare,summarization,low,15
healthcare_summarization_medium,healthcare,summarization,medium,4
insurance_batch_low_risk_summary_low,insurance,batch_low_risk_summary,low,15
insurance_batch_low_risk_summary_medium,insurance,batch_low_risk_summary,medium,4
insurance_classification_high,insurance,classification,high,18
insurance_customer_support_response_low,insurance,customer_support_response,low,15
insurance_customer_support_response_medium,insurance,customer_support_response,medium,4
insurance_extraction_low,insurance,extraction,low,14
insurance_extraction_medium,insurance,extraction,medium,4
insurance_policy_answering_high,insurance,policy_answering,high,19
insurance_retrieval_qa_high,insurance,retrieval_qa,high,19
insurance_summarization_low,insurance,summarization,low,15
insurance_summarization_medium,insurance,summarization,medium,4
legal_batch_low_risk_summary_low,legal,batch_low_risk_summary,low,16
legal_batch_low_risk_summary_medium,legal,batch_low_risk_summary,medium,3
legal_classification_high,legal,classification,high,18
legal_customer_support_response_low,legal,customer_support_response,low,15
legal_customer_support_response_medium,legal,customer_support_response,medium,3
legal_extraction_low,legal,extraction,low,14
legal_extraction_medium,legal,extraction,medium,4
legal_policy_answering_high,legal,policy_answering,high,18
legal_retrieval_qa_high,legal,retrieval_qa,high,19
legal_summarization_low,legal,summarization,low,15
legal_summarization_medium,legal,summarization,medium,4
retail_batch_low_risk_summary_low,retail,batch_low_risk_summary,low,15
retail_batch_low_risk_summary_medium,retail,batch_low_risk_summary,medium,3
retail_classification_low,retail,classification,low,15
retail_classification_medium,retail,classification,medium,4
retail_customer_support_response_low,retail,customer_support_response,low,14
retail_customer_support_response_medium,retail,customer_support_response,medium,4
retail_extraction_low,retail,extraction,low,15
retail_extraction_medium,retail,extraction,medium,4
retail_policy_answering_high,retail,policy_answering,high,19
retail_retrieval_qa_low,retail,retrieval_qa,low,14
retail_retrieval_qa_medium,retail,retrieval_qa,medium,4
retail_summarization_low,retail,summarization,low,14
retail_summarization_medium,retail,summarization,medium,4
software_engineering_batch_low_risk_summary_low,software_engineering,batch_low_risk_summary,low,14
software_engineering_batch_low_risk_summary_medium,software_engineering,batch_low_risk_summary,medium,4
software_engineering_classification_low,software_engineering,classification,low,16
software_engineering_classification_medium,software_engineering,classification,medium,3
software_engineering_code_assistance_low,software_engineering,code_assistance,low,133
software_engineering_code_assistance_medium,software_engineering,code_assistance,medium,33
software_engineering_customer_support_response_low,software_engineering,customer_support_response,low,15
software_engineering_customer_support_response_medium,software_engineering,customer_support_response,medium,4
software_engineering_extraction_low,software_engineering,extraction,low,15
software_engineering_extraction_medium,software_engineering,extraction,medium,3
software_engineering_policy_answering_high,software_engineering,policy_answering,high,19
software_engineering_retrieval_qa_low,software_engineering,retrieval_qa,low,15
software_engineering_retrieval_qa_medium,software_engineering,retrieval_qa,medium,4
software_engineering_summarization_low,software_engineering,summarization,low,15
software_engineering_summarization_medium,software_engineering,summarization,medium,3
